Episode,Score,Epsilon,MaxTile
750,209.97,0.05,128
751,177.13,0.05,128
752,259.32,0.05,128
753,318.64,0.05,128
754,121.42,0.05,128
755,91.49,0.05,64
756,-1.9,0.05,64
757,86.01,0.05,64
758,233.17,0.05,128
759,145.97,0.05,64
760,-3.94,0.05,64
761,3.4,0.05,64
762,58.52,0.05,64
763,78.2,0.05,128
764,107.84,0.05,32
765,106.8,0.05,128
766,111.89,0.05,128
767,165.83,0.05,64
768,13.38,0.05,64
769,53.78,0.05,32
770,217.84,0.05,128
771,126.68,0.05,128
772,137.43,0.05,128
773,57.33,0.05,128
774,43.67,0.05,32
775,218.24,0.05,128
776,236.04,0.05,128
777,171.85,0.05,128
778,145.15,0.05,64
779,157.48,0.05,64
780,-45.12,0.05,128
781,263.62,0.05,256
782,188.23,0.05,128
783,89.57,0.05,32
784,53.86,0.05,32
785,122.07,0.05,64
786,100.04,0.05,64
787,178.51,0.05,128
788,133.98,0.05,64
789,-115.67,0.05,64
790,221.16,0.05,128
791,-2.18,0.05,128
792,-175.27,0.05,128
793,242.43,0.05,128
794,183.58,0.05,64
795,42.87,0.05,64
796,33.19,0.05,64
797,-68.26,0.05,128
798,20.6,0.05,64
799,250.28,0.05,128
800,287.18,0.05,128
801,171.87,0.05,128
802,25.44,0.05,128
803,64.0,0.05,128
804,244.65,0.05,128
805,172.75,0.05,64
806,207.89,0.05,128
807,159.85,0.05,64
808,168.21,0.05,128
809,124.71,0.05,128
810,11.78,0.05,256
811,168.14,0.05,128
812,86.65,0.05,64
813,168.63,0.05,128
814,269.32,0.05,128
815,188.17,0.05,64
816,168.65,0.05,64
817,98.92,0.05,128
818,230.3,0.05,128
819,152.02,0.05,32
820,-4.23,0.05,256
821,118.62,0.05,64
822,59.75,0.05,64
823,165.43,0.05,128
824,175.16,0.05,64
825,171.18,0.05,64
826,95.28,0.05,64
827,94.97,0.05,64
828,214.23,0.05,128
829,302.57,0.05,256
830,157.46,0.05,64
831,182.42,0.05,128
832,158.69,0.05,128
833,106.31,0.05,32
834,34.34,0.05,128
835,15.25,0.05,64
836,129.9,0.05,64
837,56.02,0.05,128
838,137.95,0.05,128
839,96.24,0.05,128
840,75.96,0.05,128
841,51.94,0.05,32
842,171.74,0.05,64
843,-113.19,0.05,128
844,-4.28,0.05,64
845,88.89,0.05,64
846,240.37,0.05,128
847,186.66,0.05,128
848,65.92,0.05,128
849,308.02,0.05,256
850,30.1,0.05,64
851,117.51,0.05,128
852,96.56,0.05,64
853,-80.67,0.05,128
854,129.61,0.05,128
855,113.22,0.05,32
856,-31.96,0.05,128
857,211.23,0.05,64
858,266.47,0.05,128
859,8.46,0.05,128
860,221.97,0.05,128
861,37.54,0.05,128
862,75.03,0.05,128
863,220.74,0.05,128
864,269.32,0.05,256
865,102.64,0.05,32
866,280.04,0.05,128
867,143.82,0.05,64
868,-14.01,0.05,64
869,146.84,0.05,64
870,31.99,0.05,64
871,-87.11,0.05,256
872,92.74,0.05,64
873,194.51,0.05,128
874,-79.52,0.05,128
875,32.34,0.05,64
876,92.58,0.05,32
877,120.55,0.05,64
878,249.65,0.05,128
879,43.72,0.05,32
880,215.92,0.05,128
881,66.55,0.05,128
882,248.32,0.05,128
883,70.44,0.05,64
884,298.43,0.05,256
885,64.5,0.05,128
886,73.49,0.05,64
887,110.16,0.05,128
888,61.73,0.05,128
889,79.93,0.05,64
